[207] TABLE PLLA_PASO_REQUE_EST_CAND (owner: ENOC, 17 rows)
[208] TABLE PLLA_PERFIL_PUESTO (owner: ENOC, 184 rows)
[209] TABLE PLLA_PERFIL_PUESTO_ANHO (owner: ENOC, 374 rows)
[210] TABLE PLLA_PERFIL_PUESTO_COMIS_DIR (owner: ENOC, 0 rows)
[211] TABLE PLLA_PERFIL_PUESTO_CUEST (owner: ENOC, 20 rows)
[212] TABLE PLLA_PERFIL_PUESTO_CUEST_ALT (owner: ENOC, 31 rows)
[213] TABLE PLLA_PERFIL_PUESTO_CUEST_REQ (owner: ENOC, 0 rows)
[214] TABLE PLLA_PERFIL_PUESTO_DISCAP (owner: ENOC, 7 rows)
[215] TABLE PLLA_PERFIL_PUESTO_ESPDIP (owner: ENOC, 5 rows)
[216] TABLE PLLA_PERFIL_PUESTO_FUNC (owner: ENOC, 1 rows)
[217] TABLE PLLA_PERFIL_PUESTO_IDIOMA (owner: ENOC, 8 rows)
[218] TABLE PLLA_PERFIL_PUESTO_INFORM (owner: ENOC, 12 rows)
[219] TABLE PLLA_PERFIL_PUESTO_JEFE_FUN (owner: ENOC, 2 rows)
[220] TABLE PLLA_PERFIL_PUESTO_NIVRESP (owner: ENOC, 0 rows)
[221] TABLE PLLA_PERFIL_PUESTO_PROC (owner: ENOC, 3 rows)
[222] TABLE PLLA_PERFIL_PUESTO_PROF (owner: ENOC, 13 rows)
[223] TABLE PLLA_PERFIL_PUESTO_REQUI (owner: ENOC, 4 rows)
[224] TABLE PLLA_PERFIL_PUESTO_REQ_OTROS (owner: ENOC, 7 rows)
[225] TABLE PLLA_PERFIL_PUESTO_RESP (owner: ENOC, 164 rows)
[226] TABLE PLLA_PERFIL_PUESTO_SUP_FUN (owner: ENOC, 1 rows)
[227] TABLE PLLA_PERIODO_PLANILLA (owner: ENOC, 20 rows)
[228] TABLE PLLA_PERIODO_PROCESO (owner: ENOC, 6 rows)
[229] TABLE PLLA_PERIODO_PROCESO_MOD (owner: ENOC, 34 rows)
[230] TABLE PLLA_PERIODO_PROCESO_USER (owner: ENOC, 10 rows)
[231] TABLE PLLA_PERIODO_REMU (owner: ENOC, 5 rows)
[232] TABLE PLLA_PERIODO_VAC (owner: ENOC, 10 rows)
[233] TABLE PLLA_PERIODO_VAC_TRAB (owner: ENOC, 53 rows)
[234] TABLE PLLA_PERIODO_VAC_TRAB_OBS (owner: ENOC, 0 rows)
[235] TABLE PLLA_PERIODO_VAC_TRAB_PROCESO (owner: ENOC, 2 rows)
[236] TABLE PLLA_PERMISO_ESPECIAL (owner: ENOC, 0 rows)
[237] TABLE PLLA_PERMISO_ESPECIAL_DET (owner: ENOC, 0 rows)
[238] TABLE PLLA_PLANILLA (owner: ENOC, 11 rows)
[239] TABLE PLLA_PLANILLA_ESTADO (owner: ENOC, 0 rows)
[240] TABLE PLLA_PLANILLA_TRAB (owner: ENOC, 7 rows)
[241] TABLE PLLA_PLANILLA_TRAB_CCOSTO (owner: ENOC, 0 rows)
[242] TABLE PLLA_PLANILLA_TRAB_DET (owner: ENOC, 34 rows)
[243] TABLE PLLA_PLANILLA_TRAB_PROCESO (owner: ENOC, 0 rows)
[244] TABLE PLLA_PROCEDURE_EJE (owner: ENOC, 59 rows)
[245] TABLE PLLA_PROCESOS (owner: ENOC, 3 rows)
[246] TABLE PLLA_PROCESO_BOLETA (owner: ENOC, 5 rows)
[247] TABLE PLLA_PUESTO (owner: ENOC, 246 rows)
[248] TABLE PLLA_REGIMEN_DEDICACION (owner: ENOC, 4 rows)
[249] TABLE PLLA_REGIMEN_PENSIONARIA (owner: ENOC, 7 rows)
[250] TABLE PLLA_REG_PENS_COMISION (owner: ENOC, 56 rows)
[251] TABLE PLLA_REMUNERACION (owner: ENOC, 191 rows)
[252] TABLE PLLA_REMUNERACION_AUDIT (owner: ENOC, 353 rows)
[253] TABLE PLLA_REMUNERACION_DET (owner: ENOC, 39 rows)
[254] TABLE PLLA_REMUNERACION_ESTADO (owner: ENOC, 88 rows)
[255] TABLE PLLA_REMUNERACION_MENSUAL (owner: ENOC, 0 rows)
[256] TABLE PLLA_RENOVACION (owner: ENOC, 0 rows)
[257] TABLE PLLA_RENOVACION_DET (owner: ENOC, 0 rows)
[258] TABLE PLLA_RENOVACION_ESTADO (owner: ENOC, 0 rows)
[259] TABLE PLLA_RENTA_NETA_IMPONIBLE (owner: ENOC, 0 rows)
[260] TABLE PLLA_REP_VACACION (owner: ENOC, 5122 rows)
[261] TABLE PLLA_REP_VACACION_TMP (owner: ENOC, 0 rows)
[262] TABLE PLLA_REQUISITOS (owner: ENOC, 8 rows)
[263] TABLE PLLA_REQ_CAND_CLASE_MODELO (owner: ENOC, 0 rows)
[264] TABLE PLLA_REQ_CAND_CUESTIONARIO (owner: ENOC, 0 rows)
[265] TABLE PLLA_REQ_CAND_CUESTION_RESP (owner: ENOC, 0 rows)
[266] TABLE PLLA_REQ_CAND_PARAMETRO (owner: ENOC, 12 rows)
[267] TABLE PLLA_RESPONSABILIDAD (owner: ENOC, 3 rows)
[268] TABLE PLLA_ROL_VACACIONAL (owner: ENOC, 51 rows)
[269] TABLE PLLA_ROL_VACACIONAL_HIST (owner: ENOC, 2 rows)
[270] TABLE PLLA_SELEC_EVAL_GRUPO (owner: ENOC, 4 rows)
[271] TABLE PLLA_SELEC_EVAL_GRUPO_PJE (owner: ENOC, 4 rows)
[272] TABLE PLLA_SOBRETIEMPO (owner: ENOC, 101 rows)
[273] TABLE PLLA_SOBRETIEMPO_ESTADO (owner: ENOC, 226 rows)
[274] TABLE PLLA_SOLIC_FALTA (owner: ENOC, 0 rows)
[275] TABLE PLLA_SOLIC_FALTA_ESTADO (owner: ENOC, 0 rows)
[276] TABLE PLLA_SOLIC_JUSTIF (owner: ENOC, 9 rows)
[277] TABLE PLLA_SOLIC_JUSTIF_DESC_MARC (owner: ENOC, 17 rows)
[278] TABLE PLLA_SOLIC_JUSTIF_ESTADO (owner: ENOC, 17 rows)
[279] TABLE PLLA_SOLIC_REQUE (owner: ENOC, 190 rows)
[280] TABLE PLLA_SOLIC_REQUE_EST (owner: ENOC, 484 rows)
[281] TABLE PLLA_SOLIC_REQ_CANDIDATO (owner: ENOC, 202 rows)
[282] TABLE PLLA_SOLIC_REQ_CANDIDATO_COSTO (owner: ENOC, 10 rows)
[283] TABLE PLLA_SOLIC_REQ_CANDIDATO_DET (owner: ENOC, 120 rows)
[284] TABLE PLLA_SOL_VAC_ADEL (owner: ENOC, 8 rows)
[285] TABLE PLLA_SOL_VAC_ADEL_DET (owner: ENOC, 8 rows)
[286] TABLE PLLA_SOL_VAC_ADEL_PROCESO (owner: ENOC, 1 rows)
[287] TABLE PLLA_SUBFACTOR (owner: ENOC, 14 rows)
[288] TABLE PLLA_SUBFACTOR_NIVEL (owner: ENOC, 42 rows)
[289] TABLE PLLA_SUBGRADO (owner: ENOC, 5 rows)
[290] TABLE PLLA_TARDANZA (owner: ENOC, 0 rows)
